1,2,3,4,5,6,Y
3.633,3.63,3.626,3.62,3.613,3.606,1.0
3.63,3.626,3.62,3.613,3.606,3.599,1.0
3.626,3.62,3.613,3.606,3.599,3.593,1.0
3.62,3.613,3.606,3.599,3.593,3.586,1.0
3.613,3.606,3.599,3.593,3.586,3.582,1.0
3.606,3.599,3.593,3.586,3.582,3.579,1.0
3.599,3.593,3.586,3.582,3.579,3.577,1.0
3.593,3.586,3.582,3.579,3.577,3.577,1.0
3.586,3.582,3.579,3.577,3.577,3.578,1.0
3.582,3.579,3.577,3.577,3.578,3.579,1.0
3.579,3.577,3.577,3.578,3.579,3.583,1.0
3.577,3.577,3.578,3.579,3.583,3.587,1.0
3.577,3.578,3.579,3.583,3.587,3.593,1.0
3.588,3.586,3.584,3.582,3.581,3.579,1.0
3.586,3.584,3.582,3.581,3.579,3.577,1.0
3.584,3.582,3.581,3.579,3.577,3.575,1.0
3.582,3.581,3.579,3.577,3.575,3.574,1.0
3.581,3.579,3.577,3.575,3.574,3.574,1.0
3.579,3.577,3.575,3.574,3.574,3.574,1.0
3.577,3.575,3.574,3.574,3.574,3.575,1.0
3.575,3.574,3.574,3.574,3.575,3.578,1.0
3.574,3.574,3.574,3.575,3.578,3.579,1.0
3.574,3.574,3.575,3.578,3.579,3.582,1.0
3.574,3.575,3.578,3.579,3.582,3.586,1.0
3.575,3.578,3.579,3.582,3.586,3.592,1.0
3.584,3.576,3.565,3.551,3.533,3.512,1.0
3.576,3.565,3.551,3.533,3.512,3.488,1.0
3.565,3.551,3.533,3.512,3.488,3.462,1.0
3.551,3.533,3.512,3.488,3.462,3.434,1.0
3.533,3.512,3.488,3.462,3.434,3.406,1.0
3.512,3.488,3.462,3.434,3.406,3.377,1.0
3.488,3.462,3.434,3.406,3.377,3.348,1.0
3.462,3.434,3.406,3.377,3.348,3.32,1.0
3.434,3.406,3.377,3.348,3.32,3.294,1.0
3.406,3.377,3.348,3.32,3.294,3.268,1.0
3.377,3.348,3.32,3.294,3.268,3.244,1.0
3.348,3.32,3.294,3.268,3.244,3.222,1.0
3.32,3.294,3.268,3.244,3.222,3.201,1.0
3.294,3.268,3.244,3.222,3.201,3.178,1.0
3.268,3.244,3.222,3.201,3.178,3.162,1.0
3.244,3.222,3.201,3.178,3.162,3.146,1.0
3.222,3.201,3.178,3.162,3.146,3.127,1.0
3.201,3.178,3.162,3.146,3.127,3.111,1.0
3.448,3.441,3.433,3.422,3.411,3.397,1.0
3.441,3.433,3.422,3.411,3.397,3.382,1.0
3.433,3.422,3.411,3.397,3.382,3.365,1.0
3.422,3.411,3.397,3.382,3.365,3.347,1.0
3.411,3.397,3.382,3.365,3.347,3.328,1.0
3.397,3.382,3.365,3.347,3.328,3.311,1.0
3.382,3.365,3.347,3.328,3.311,3.291,1.0
3.365,3.347,3.328,3.311,3.291,3.273,1.0
3.347,3.328,3.311,3.291,3.273,3.251,1.0
3.328,3.311,3.291,3.273,3.251,3.23,1.0
3.311,3.291,3.273,3.251,3.23,3.214,1.0
