1,2,3,4,5,6,Y
-0.494,-0.488,-0.49,-0.377,-0.198,-0.106,0.
-0.494,-0.488,-0.49,-0.377,-0.198,-0.088,0.
-0.494,-0.488,-0.49,-0.377,-0.198,-0.083,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.197,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.192,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.181,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.172,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.167,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.139,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.135,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.131,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.111,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.106,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.088,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.083,0.
-0.494,-0.488,-0.49,-0.377,-0.193,-0.064,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.135,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.131,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.111,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.106,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.088,0. 
-0.494,-0.488,-0.49,-0.377,-0.17,-0.083,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.064,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.06,0. 
-0.494,-0.488,-0.49,-0.377,-0.17,-0.054,0.
-0.494,-0.488,-0.49,-0.377,-0.17,-0.05,0. 
-0.494,-0.488,-0.49,-0.377,-0.17,-0.044,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.139,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.135,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.131,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.111,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.106,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.088,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.083,0.
-0.494,-0.488,-0.49,-0.377,-0.152,-0.064,0.
-0.494,-0.488,-0.49,-0.395,-0.24,-0.192,0.
-0.494,-0.488,-0.49,-0.395,-0.24,-0.181,0.
-0.494,-0.488,-0.49,-0.395,-0.24,-0.172,0.
-0.494,-0.488,-0.49,-0.395,-0.24,-0.167,0.
-0.494,-0.488,-0.49,-0.395,-0.24,-0.139,0.
-0.494,-0.488,-0.49,-0.395,-0.24,-0.135,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.236,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.231,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.223,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.215,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.197,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.192,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.181,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.172,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.167,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.139,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.135,0.
-0.494,-0.488,-0.49,-0.395,-0.228,-0.131,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.231,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.223,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.215,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.197,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.192,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.181,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.172,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.167,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.139,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.135,0.
-0.494,-0.488,-0.49,-0.395,-0.222,-0.131,0.
